Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
data/IMG/robocam_2020_09_03_08_41_38_662.jpg;0;1;0;1.140942;100.3122;86.13982;1.230161;40.79255;-0.0007788744
data/IMG/robocam_2020_09_03_08_41_38_713.jpg;0;1;0;1.191103;100.3664;86.18618;1.22772;40.7776;-0.0008176226
data/IMG/robocam_2020_09_03_08_41_38_763.jpg;0;1;0;1.218028;100.4036;86.21807;1.226901;40.76133;-0.0006629471
data/IMG/robocam_2020_09_03_08_41_38_812.jpg;0;1;0;1.262702;100.4613;86.26746;1.233009;40.73186;-0.0006676989
data/IMG/robocam_2020_09_03_08_41_38_863.jpg;0;1;0;1.294928;100.501;86.30135;1.234869;40.72015;-0.0008668349
data/IMG/robocam_2020_09_03_08_41_38_913.jpg;0;1;0;1.343919;100.5623;86.35371;1.237271;40.69838;-0.000803268
data/IMG/robocam_2020_09_03_08_41_38_963.jpg;0;1;0;1.374828;100.6044;86.38968;1.242303;40.6842;-0.0008793267
data/IMG/robocam_2020_09_03_08_41_39_013.jpg;0;1;0;1.420487;100.6693;86.44506;1.243296;40.66932;-0.000828729
data/IMG/robocam_2020_09_03_08_41_39_063.jpg;0;1;0;1.453172;100.7139;86.48305;1.249027;40.66035;-0.0009360116
data/IMG/robocam_2020_09_03_08_41_39_113.jpg;0;1;0;1.499272;100.7824;86.54146;1.250396;40.64887;-0.0009050021
data/IMG/robocam_2020_09_03_08_41_39_163.jpg;0;1;0;1.531332;100.8294;86.58144;1.255373;40.64168;-0.0009737491
data/IMG/robocam_2020_09_03_08_41_39_213.jpg;0;1;0;1.578007;100.9015;86.64286;1.257604;40.63125;-0.0009811689
data/IMG/robocam_2020_09_03_08_41_39_263.jpg;0;1;0;1.608892;100.9508;86.68481;1.260197;40.62361;-0.0009960613
data/IMG/robocam_2020_09_03_08_41_39_313.jpg;0;1;0;1.654344;101.0265;86.74924;1.265155;40.61121;-0.0009934477
data/IMG/robocam_2020_09_03_08_41_39_363.jpg;0;1;0;1.685094;101.0781;86.79317;1.267422;40.6039;-0.0009938754
data/IMG/robocam_2020_09_03_08_41_39_413.jpg;0;1;0;1.73182;101.1574;86.86055;1.272711;40.5924;-0.001027236
data/IMG/robocam_2020_09_03_08_41_39_463.jpg;0;1;0;1.761536;101.2114;86.90646;1.276358;40.58559;-0.001036525
data/IMG/robocam_2020_09_03_08_41_39_513.jpg;0;1;0;1.808018;101.2941;86.97674;1.278123;40.57593;-0.001067429
data/IMG/robocam_2020_09_03_08_41_39_563.jpg;0;1;0;1.83843;101.3505;87.02461;1.282203;40.567;-0.001071487
data/IMG/robocam_2020_09_03_08_41_39_613.jpg;0;1;0;1.883792;101.4367;87.09784;1.286836;40.55596;-0.001079656
data/IMG/robocam_2020_09_03_08_41_39_663.jpg;0;1;0;1.913214;101.4953;87.14761;1.288746;40.54904;-0.001085101
data/IMG/robocam_2020_09_03_08_41_39_713.jpg;0;1;0;1.958353;101.5851;87.22374;1.293083;40.53792;-0.001105011
data/IMG/robocam_2020_09_03_08_41_39_762.jpg;0;1;0;1.989001;101.646;87.27544;1.295126;40.53135;-0.001127162
